,title,byline,dates
98,'Give Legcopowers to halt filibuster': Labour Party stalwartsays lawmakers and not the legislature president should decide whether or not to cut short the delaying tactic,"Lam, Jeffie.",2-May-14
99,Driver killed in smash near border,"Chan, Samuel.",2-May-14
100,"Marine police officers assaulted, pushed into sea","Chan, Samuel.",2-May-14
101,Concern over future of archaeological dig site: Government advisersto check on work near rail link that has yielded vast trove of artifacts,"Lee, Ada; Fanny WY Fung.",2-May-14
102,Concern over future of MTR archaeological dig: Government advisersto check on work near rail link that has yielded vast trove of artefacts,"Lee, Ada; Fanny WY Fung.",2-May-14
103,Hong Kong jewellers fear shine taken off 'golden week'this year: Gold businesses particularly downbeat but some retailers still banking on mainlanders' bucks,"Nip, Amy; Zhao, Shirley.",2-May-14
104,Hong Kong jewellers fear shine taken off 'golden week' this year: Gold traders particularly downbeat but other retailers still banking on mainlanders' cash,"Nip, Amy; Zhao, Shirley.",2-May-14
105,Pro-Beijing legal expert backs Bar Association's rejection of high barrier to nomination: Pro-Beijing barrister joins Bar in view that 50 per cent threshold may breach Basic Law,Tanna Chong.,2-May-14
106,World Health Organisation's tardy reporting of Mers cases criticised,"Lo, Wei.",2-May-14
107,All manner of gripes on show in Macau march: Record 18 groupsprotest over everything from smoking in casinos to property prices - but many residents opt for free music on the beach,"Lau, Stuart.",2-May-14
108,"HK more miserable than many of its neighbours, index shows","Kang-chung, Ng.",2-May-14
109,"Macau marchers put the blame on government: From smokingin casinos to high property prices, protesters put officials in the frame. But many residents opt for free music on the beach","Lau, Stuart.",2-May-14
110,More public holidays too expensive: employers,"Nip, Amy.",2-May-14
111,"How the Police negotiating team uses wits and compassion to save lives: Police negotiators use their wits and compassion to save lives, writesElaine Yau","Yau, Elaine.",2-May-14
112,Digital initiatives mark Burberry's move into the mainland,Divia Harilela.,2-May-14
113,Altfield Gallery,,2-May-14
114,The Amazing Spider-Man 2 (IIA),,2-May-14
115,Philippe Jaroussky & Venice Baroque Orchestra,,2-May-14
116,Cruz-ing along,,2-May-14
117,"It's all Fun 'N' Games for speedster, if he leads","Aitken, Alan.",2-May-14
118,"Able Friend dealt difficult draw in Champions Mile: Fate strikesa blow against trainer John Moore's highly rated contender who gets gate 14, a position from which no runner has claimed victory","Aitken, Alan.",2-May-14
119,Gibson pencils in Arlington Million in Chicago to keep Akeed Mofeed fresh,"Aitken, Alan.",2-May-14
120,Hong Kong batting collapse gives Afghanistan an easy run chase: Charlie Burke's men dismissed for 216 despite half-century knock from ODI debutant Hayat,"Sallay, Alvin.",2-May-14
121,Veteran Tie Yana back in action as Hong Kong maintain winning run,Chan Kin-wa.,2-May-14
122,North Korea gets a new No 2 to Kim Jong-un,,3-May-14
123,Philippines police arrest 58 in 'sextortion' racket raids,"Harris, Bryan.",3-May-14
124,Rail link farce as head of inquiry into delay quits: Professorgiven taskof leading independent investigation into controversy is found to be on the board of one of the project's key contractors,"Wong, Olga; Cheung, Tong.",3-May-14
125,Relatives of flight MH370 dead angry over order to quit Beijing hotel: Provincial officials sent to Lido Hotel to persuade families they should return home,"Zhou, Laura.",3-May-14
126,Let voters decide on electoral reform,"Lo, Alex.",3-May-14
127,"What you liked, May 3, 2014",,3-May-14
128,"Hong Kong's MTR blocked announcement of rail delay in November, says government: Government says MTR boss asked it not to announce delay in high-speed project","Lee, Ada.",3-May-14
129,Hong Kong's MTR Corporation may seek additional funding for Guangzhou high-speed rail link: Corporation may need an additional HK$2b for Guangzhou line as a result of delay,"Lee, Ada.",3-May-14
130,"Macau casino junket operator vanishes, leaving massive debts","Fraser, Niall.",3-May-14
131,"Macau casino revenues up 10.6 per cent year on year in April, to 31.3 billion patacas: Casinos take in31.3 billion patacas in April, extending streak of monthly revenue growth as the masses continue to flock to city's tables","Yu, Sophie.",3-May-14
132,Farmer's ruse to protect land rights exposed: Zhang Haixin's evolution from farmer to village activist included a host of deceptions,"Lau, Mimi.",3-May-14
133,Life goes on,,3-May-14
134,"Mainland doctors' pay 'dangerously low': Amid a government reviewof charges for services at public hospitals, medical staff say salaries should be raised to attract the best talent",Zhuang Pinghui.,3-May-14
135,"Mainland doctors' pay 'dangerously low', says hospital director amid review of medical fees: Amid a government reviewof charges for services at public hospitals, medical staff say salaries should be raised to attract the best talent",Zhuang Pinghui.,3-May-14
136,New infant milk formula rules 'are not targeted at specific brands',"Sun, Celine.",3-May-14
137,"Time running out for Shanghai's free-trade zone: Seven months after scheme announced, few businesses see good reason to hang out their shingle in the 'Hong Kong of the Yangtze'","Ren, Daniel.",3-May-14
138,Urumqi goes about its business two days after suicide attack,,3-May-14
139,"China digest, May 3, 2014",,3-May-14
140,UN envoy says Rohingya must get citizenship rights in Myanmar,Associated Press.,3-May-14
141,"In Xinjiang, government must tackle terrorism with carrot and stick",,3-May-14
142,"Letters Question, May 03, 2014",,3-May-14
143,"Letters to the Editor, May 03, 2014",,3-May-14
144,Upgraded technology can help avert disasters like flight MH370,,3-May-14
145,Urban planning crucial for better housing development,,3-May-14
146,Guangzhou developers fight for sales in slow market: Discount pitchesto home-seekers in the city's booming Luogang district reflect the fierce competition across the mainland in a slowing market,"Chiang, Langi.",3-May-14
147,Mainland broker GF Securities plans to raise up to US$1b in HK listing,"Chan, Ray.",3-May-14
148,events,,3-May-14
149,HK startups get big boost from Microsoft-Cyberport programme,"Perez, Bien.",3-May-14
150,Labour Day holiday unlikely to have boosted retail sales in Hong Kong: Bad weather and anti-mainlander sentiment blamed for expected poor holiday retail sales,"Ap, Tiffany.",3-May-14
151,VAT reform to put pressure on telecoms giants' shares: Mainland network operatorsexpect the prices of their stocks to be badly affected when the value-added tax is extended to the industry,"Perez, Bien.",3-May-14
152,Odd silence as casino chips fall,"Yam, Shirley.",3-May-14
153,Steve Miller plans to start his third airline,,3-May-14
154,'Lost generation' to tell UN that segregation in Hong Kong ruined job prospects,"Ngo, Jennifer.",3-May-14
155,Lawmakers sceptical of planned new towns,"Lee, Ada.",3-May-14
156,"Man, 74, dies after falling into the sea",,3-May-14
157,Relics found at former Sacred Hill site before MTR's decision to build: Report identified formerSacred Hill site as having 'archaeological potential' seven months before MTR decided to build a station there,Fanny WY Fung.,3-May-14
158,Anti-Aids group hands out free condoms to teach youth about safe sex,"Kang-chung, Ng.",3-May-14
159,Exhibition on death offers life lessons: Organisers want to get rid of the stigma surrounding the subject,"Ngo, Jennifer.",3-May-14
160,HIV cases in Hong Kong's young treble in a decade: Call for bettersex education as 'troubling' statistics show those in their twenties made up almost 30 per cent of new cases last year,"Kang-chung, Ng.",3-May-14
161,Man accused of attacking media boss with metal bars appears in court,"Chu, Julie.",3-May-14
162,"Paper Talk, May 3, 2014",,3-May-14
163,'No evidence' that woman's car hit cattle found dead on Lantau,"Harris, Bryan.",3-May-14
164,'No evidence' defendant's car hit cattle,"Harris, Bryan.",3-May-14
165,"Ardent Communist once dubbed a spy: Former newspaper editor Lo Fudies at the age of 93. His faith in the party was shaken by Tiananmen, but not his arrest for espionage","Cheung, Gary.",3-May-14
166,"Death of Lo Fu, veteran journalist once dubbed a spy: Former newspaper editor Lo Fuhas died at the age of 93. His faith in the party was shaken by Tiananmen, but not his arrest for espionage","Lo, Fu.",3-May-14
167,Facts thin on ground as Fat Angelo's restaurants close: Popular Italian chain abruptly shutters all three Hong Kong outlets due to 'major renovations',"Nip, Amy.",3-May-14
168,"Relatives, lawmakers may get to see damning report: Internal probe into Marine Department could be revealed to those who sign confidentiality deals","Lee, Eddie.",3-May-14
169,'No urgency' for unified reform plan: pan-dems,"Cheung, Tony.",3-May-14
170,Board changes rules on public comments,"Fung, Fanny W Y.",3-May-14
171,Community service for star who left son home alone,"Zhao, Shirley.",3-May-14
172,Electronic textbooks far cheaper than print: Government list reveals electronic versions of school books cost 65pc less,"Zhao, Shirley.",3-May-14
173,The little prince,,3-May-14
174,Planning board stops sending out notices,"Fung, Fanny W Y.",3-May-14
175,Relatives of victims of Lamma ferry disaster may get to read damning report: Internal probe into Marine Department could be revealed to those who sign confidentiality deals,"Lee, Eddie.",3-May-14
176,Alisan Fine Arts,,3-May-14
177,The Amazing Spider-Man 2 (IIA),,3-May-14
178,Harbour Records' 10th Anniversary Party,,3-May-14
179,John Size fears glory will go to overseas runner for first time,"Cox, Michael.",3-May-14
180,Passport rule may see four riders out of team for Incheon: Mainland women- HK's best hopes for a medal - are latest athletes to face prospect of missing Asian Games over OCA's new eligibility policy,Chan Kin-wa.,3-May-14
181,South Africa's Variety Club aims to buck trend in Champions Mile: Highly rated South African star looms asa big threat to Hong Kong dominance,"Aitken, Alan.",3-May-14
182,Afghanistan landslide victims buried alive,,4-May-14
183,Australian PM cancels trip to Indonesia,,4-May-14
184,"Fugitive property tycoon Zeng Wei to return to face justice over bribery scandal: Zeng Wei, who fled three years ago while charged over bribery scandal, to be extradited from US","Fraser, Niall.",4-May-14
185,"Fugitive tycoon Zeng Wei to return to Hong Kong to face justice over bribery scandal: Zeng Wei, who fled in 2011 after being charged over bribery scandal, will be extradited from US","Fraser, Niall.",4-May-14
186,GLOBETROTTING CHARLEY LANYON,,4-May-14
187,who said it?,,4-May-14
188,"City embarks on next step in electoral overhaul as consultation ends: Public consultationis over now, but there's still lots to be done as Hong Kong inches forward in the complicated process of electoral overhaul","Cheung, Tony.",4-May-14
189,"Hongkongers finding common ground on 2017 poll, Carrie Lam says","Cheung, Tony.",4-May-14
190,"MTR was given 'benefit of doubt' on rail delay, says transport chief: Transport chief denies accusations he helped in a 'cover-up' ahead of grilling by lawmakers","Lee, Ada.",4-May-14
191,"Police step up search for Urumqi bomb suspect's family: 100,000 yuan reward offered for clues to deadly station attack in which 3 people died","Ng, Teddy.",4-May-14
192,"Violist Andrew Ling is immune to stage fright and has been taught by the best: Violist Andrew Ling has never known stage fright and has learnt from some elite mentors, writesOliver Chou","Chou, Oliver.",4-May-14
193,World Toilet Organisation steps into public urination row,"Choi, Christy.",4-May-14
194,"Hong Kong news in brief, May 4, 2014",,4-May-14
195,"Prosecutions stepped up against hazardous workplaces, minister says: After 10 die on the job in first three months of the year, minister reports more patrols","Nip, Amy.",4-May-14
196,"Transport minister takes blame for mix-up over head of panel to probe MTR project delay: Backgroundof academic appointed to chair probe of express rail link delays was not checked, though he is a director of a contractor","Lee, Ada.",4-May-14
197,Bathing ritual marks Buddha's Birthday,,4-May-14
198,"For new Chinese-language curriculum to work, teachers have to show us respect, say ethnic minority pupils: Ethnic minority pupils offer views on scheme to teach Chinese as a second language","Zhao, Shirley.",4-May-14
199,Hong Kong firms get into funny business with laughter yoga: Laughter yogais a surprise hit with companies that want to soothe stressed-out employees,"Choi, Christy.",4-May-14
200,"Lots of toilets in Hong Kong, so no excuse for public peeing: Relieving oneself where one shouldn't can bring big fines, but relatively few are brought to book","Choi, Christy.",4-May-14
201,"Racing world's equivalent of G8 summit will talk horse and more: Meeting is racing world's equivalent of G8 summit, says Jockey Club chief",,4-May-14
202,Beijing subway train derails during testing of new section of tracks,"Ng, Teddy.",4-May-14
203,Postcard: Beijing,Xu Donghuan.,4-May-14
204,Senior Chongqing official Tan Xiwei under investigation for corruption,"Chan, Minnie.",4-May-14
205,Why Guangzhou woman put baby up for sale as she seeks justice for slain husband: Lin Xinlei says she needs money to fight system protecting bar owner behind husband's killing,"Lau, Mimi.",4-May-14
206,Direct-subsidy schools' fee rises a worrying sign of inequality,,4-May-14
207,"Letters Facebook, May 04, 2014",,4-May-14
208,"Letters Question, May 04, 14",,4-May-14
209,"Letters to the Editor, May 04, 2014",,4-May-14
210,Macau's expansion into Hengqin gives Hong Kong cause for reflection,,4-May-14
211,Workers' stagnant wages highlight wider rich-poor gap in HK,,4-May-14
212,Between state media's lines often lies the crux of an issue: Xinhua report on Premier Li Keqiang's Chongqing visit toes party line even as it steers readers to the heart of the matter,"Huang, Cary.",4-May-14
213,"Book review: Leftover Women, by Leta Hong Fincher",Gender.,4-May-14
214,"Don't write off Warren Buffett, despite recent failures of judgment",,4-May-14
215,Equus,,4-May-14
216,agnes b.'s Librairie Galerie,,4-May-14
217,The Amazing Spider-Man 2 (IIA),,4-May-14
